date,time,timezone,text,image,post_link,utc_time
2/3/2026,11:20:05,EST,https://t.co/uAxTGrJisv,,https://twitter.com/realDonaldTrump/status/2028505632123326484,2026-03-02T16:20:05.000Z
28/2/2026,2:44:23,EST,https://t.co/BZuJDudLej,,https://twitter.com/realDonaldTrump/status/2027651077865157033,2026-02-28T07:44:23.000Z
2/2/2026,21:29:10,EST,"RT @DanScavino: On behalf of Erin and me, thank you to everyone for the love and support we've received. We both had an unforgettable weddi…",,https://twitter.com/realDonaldTrump/status/2018512054379004088,2026-02-03T02:29:10.000Z
2/2/2026,18:28:53,EST,"RT @THR: Box Office: ‘Melania’ Heads for $8 Million Opening, the Best Showing in a Decade for a Doc https://t.co/2FKjEMRoxW",,https://twitter.com/realDonaldTrump/status/2018466683707625610,2026-02-02T23:28:53.000Z
2/2/2026,18:28:47,EST,"RT @FoxNews: RECORD BREAKER: “Melania,” a documentary following the first lady in the 20 days before President Trump’s second inauguration,…",,https://twitter.com/realDonaldTrump/status/2018466659422687405,2026-02-02T23:28:47.000Z
31/1/2026,14:06:19,EST,"RT @MELANIATRUMP: MELANIA, the film. #1 Highest Opening In 10 Yrs (Doc) Loved By All - “A” CinemaScore https://t.co/HTVM0Cu2Jv",https://pbs.twimg.com/media/HAAt9yXWIAEZY_X.jpg,https://twitter.com/realDonaldTrump/status/2017675831116521939,2026-01-31T19:06:19.000Z
30/1/2026,21:01:43,EST,"Last night I saw, “MELANIA,” for the second time. The audience loved it, and so do I. Check it out — A MUST SEE! https://t.co/rjwd5Appkv",,https://twitter.com/realDonaldTrump/status/2017417980594827718,2026-01-31T02:01:43.000Z
26/1/2026,12:05:08,EST,"MELANIA, the Movie, is a MUST WATCH. Get your tickets today — Selling out, FAST!  Photo: Regine Mahaux https://t.co/rjwd5Appkv https://t.co/vFpXfV0Mg0",https://pbs.twimg.com/media/G_mtyaXXcAAvj4V.jpg,https://twitter.com/realDonaldTrump/status/2015833393917747502,2026-01-26T17:05:08.000Z
23/1/2026,20:35:51,EST,I have been briefed on the Record Cold Wave and Historic Winter Storm that will be hitting much of the United States this weekend. The Trump Administration is coordinating with State and Local Officials. FEMA is fully prepared to respond. Stay Safe and Stay Warm! President DJT https://t.co/t524rfMjvj,,https://twitter.com/realDonaldTrump/status/2014874759473828043,2026-01-24T01:35:51.000Z
23/1/2026,13:51:21,EST,"COUNTDOWN: 7 Days until the World will witness an unforgettable, behind-the-scenes, look at one of the most important events of our time.  MELANIA: TWENTY DAYS TO HISTORY: https://t.co/rjwd5Appkv https://t.co/AHD0rn1M7C",,https://twitter.com/realDonaldTrump/status/2014772963719991311,2026-01-23T18:51:21.000Z
24/12/2025,21:12:53,EST,"Merry Christmas to all, including the Radical Left Scum that is doing everything possible to destroy our Country, but are failing badly. We no longer have Open Borders, Men in Women’s Sports, Transgender for Everyone, or Weak Law Enforcement. What we do have is a Record Stock",,https://twitter.com/realDonaldTrump/status/2004012442427277591,2025-12-25T02:12:53.000Z
23/12/2025,15:35:55,EST,"THE TRUMP KENNEDY CENTER HONORS will be broadcast tonight, on CBS, and Stream on Paramount+. Tune in at 8 P.M. EST! At the request of the Board, and just about everybody else in America, I am hosting the event. Tell me what you think of my “Master of Ceremony” abilities. If",,https://twitter.com/realDonaldTrump/status/2003565251816554746,2025-12-23T20:35:55.000Z
2/12/2025,11:52:21,EST,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE for a phenomenal Candidate and MAGA Warrior, Matt Van Epps! You can win this Election for Matt, who has my Complete and Total Endorsement. HE WILL BE A GREAT CONGRESSMAN",,https://twitter.com/realDonaldTrump/status/1995898845134303294,2025-12-02T16:52:21.000Z
1/12/2025,21:10:14,EST,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE TOMORROW for a phenomenal Candidate, Matt Van Epps, on Election Day, Tuesday, December 2nd! You can win this Election for MAGA Warrior Matt Van Epps, who has my Complete",,https://twitter.com/realDonaldTrump/status/1995676855651664182,2025-12-02T02:10:14.000Z
29/11/2025,8:27:23,EST,"To all Airlines, Pilots, Drug Dealers, and Human Traffickers, please consider THE AIRSPACE ABOVE AND SURROUNDING VENEZUELA TO BE CLOSED IN ITS ENTIRETY. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",,https://twitter.com/realDonaldTrump/status/1994760100376891748,2025-11-29T13:27:23.000Z
28/11/2025,11:10:22,EST,"The United States did not attend the G20 in South Africa, because the South African Government refuses to acknowledge or address the horrific Human Right Abuses endured by Afrikaners, and other descendants of Dutch, French, and German settlers. To put it more bluntly, they are",,https://twitter.com/realDonaldTrump/status/1994438728237064270,2025-11-28T16:10:22.000Z
28/11/2025,11:08:50,EST,"Democracy is on trial in the coming Elections in the beautiful country of Honduras on November 30th. Will Maduro and his Narcoterrorists take over another country like they have taken over Cuba, Nicaragua, and Venezuela? The man who is standing up for Democracy, and fighting",,https://twitter.com/realDonaldTrump/status/1994438342403141889,2025-11-28T16:08:50.000Z
28/11/2025,0:10:34,EST,"A very Happy Thanksgiving salutation to all of our Great American Citizens and Patriots who have been so nice in allowing our Country to be divided, disrupted, carved up, murdered, beaten, mugged, and laughed at, along with certain other foolish countries throughout the World,",,https://twitter.com/realDonaldTrump/status/1994272683387687053,2025-11-28T05:10:34.000Z
26/11/2025,16:59:16,EST,https://t.co/oQK0HLgf88,https://pbs.twimg.com/media/G6toIexXAAAuXuy.jpg,https://twitter.com/realDonaldTrump/status/1993801758326616561,2025-11-26T21:59:16.000Z
25/11/2025,18:57:56,EST,"I am asking all America First Patriots in Tennessee’s 7th Congressional District, who haven’t voted yet, to please GET OUT AND VOTE for MAGA Warrior Matt Van Epps, tomorrow, November 26th, the last day to vote early in person. You can win this Election for Matt! PLEASE VOTE FOR",,https://twitter.com/realDonaldTrump/status/1993469230528790869,2025-11-25T23:57:56.000Z
14/10/2025,22:14:08,EDT,"RT @kaitrump: I had an amazing time filming with my Grandpa to kick off my new series called 1 on 1 with Kai. In the video, everyone gets t…",,https://twitter.com/realDonaldTrump/status/1978283219461030105,2025-10-15T02:14:08.000Z
14/10/2025,13:20:04,EDT,"Don’t forget to get a copy of my son Eric’s book, “UNDER SIEGE,” which is breaking records everywhere. It’s a phenomenal book, that’s a must read for everyone—Congratulations Eric, you deserve it!!! https://t.co/na0jBJ1nxp https://t.co/jUtJ6xrP5P",https://pbs.twimg.com/media/G3PL3OzXoAEjS8T.jpg,https://twitter.com/realDonaldTrump/status/1978148814776046046,2025-10-14T17:20:04.000Z
13/10/2025,22:46:13,EDT,https://t.co/08KV4EtQDZ,,https://twitter.com/realDonaldTrump/status/1977928905169269143,2025-10-14T02:46:13.000Z
12/10/2025,0:43:54,EDT,"I am pleased to announce that the great Dan Scavino, in addition to remaining Deputy Chief of Staff of the Trump Administration, will head the White House Presidential Personnel Office, replacing Sergio Gor, who did a wonderful job in that position, and will now become the",,https://twitter.com/realDonaldTrump/status/1977233745997381756,2025-10-12T04:43:54.000Z
2/10/2025,23:33:23,EDT,https://t.co/BlX7O7Idjj,,https://twitter.com/realDonaldTrump/status/1973954507001507920,2025-10-03T03:33:23.000Z
2/10/2025,23:30:37,EDT,https://t.co/na2ivYVFoT,,https://twitter.com/realDonaldTrump/status/1973953812517040164,2025-10-03T03:30:37.000Z
30/9/2025,23:02:36,EDT,"It was great being with King Charles, Queen Camilla, and the Royal Family! https://t.co/XFxJAH7aF2","https://pbs.twimg.com/media/G2JK8DdXMAEUKDp.jpg, https://pbs.twimg.com/media/G2JK8DmWAAAIy8e.jpg, https://pbs.twimg.com/media/G2JK8DdXwAE5adc.jpg, https://pbs.twimg.com/media/G2JK8DrXgAAtbsi.jpg",https://twitter.com/realDonaldTrump/status/1973221986429222933,2025-10-01T03:02:36.000Z
30/9/2025,23:01:51,EDT,"Yes, I’m watching. Congratulations! https://t.co/3iN3YnTUnn",,https://twitter.com/realDonaldTrump/status/1973221796427211262,2025-10-01T03:01:51.000Z
30/9/2025,23:00:58,EDT,https://t.co/NNNumraCkN,https://pbs.twimg.com/media/G2JKkCOWoAAJCh0.jpg,https://twitter.com/realDonaldTrump/status/1973221572585595221,2025-10-01T03:00:58.000Z
30/9/2025,22:49:30,EDT,https://t.co/AdZzv7LJLt,https://pbs.twimg.com/media/G2JH8HVXsAA1wyz.jpg,https://twitter.com/realDonaldTrump/status/1973218687831384293,2025-10-01T02:49:30.000Z
30/9/2025,22:48:50,EDT,https://t.co/2yyuRkm9r8,,https://twitter.com/realDonaldTrump/status/1973218518893207825,2025-10-01T02:48:50.000Z
30/9/2025,22:48:04,EDT,What a great couple—Congratulations! President DJT https://t.co/pTmr43r784,,https://twitter.com/realDonaldTrump/status/1973218327330955749,2025-10-01T02:48:04.000Z
29/9/2025,20:35:34,EDT,https://t.co/JzQYLShOCt,,https://twitter.com/realDonaldTrump/status/1972822596397003159,2025-09-30T00:35:34.000Z
16/9/2025,22:08:27,EDT,https://t.co/gZgTprtUvt,,https://twitter.com/realDonaldTrump/status/1968134929080082432,2025-09-17T02:08:27.000Z
15/9/2025,14:20:42,EDT,"MY son Eric’s just out book, “UNDER SIEGE,” immediately went to NUMBER ONE on Amazon. Great going Eric, you deserve it!!! https://t.co/na0jBJ1VmX https://t.co/LBnGcsLMWH",https://pbs.twimg.com/media/G06DoOyWAAAo777.jpg,https://twitter.com/realDonaldTrump/status/1967654825308590378,2025-09-15T18:20:42.000Z
11/9/2025,9:03:39,EDT,https://t.co/HGH3yQKdO7,,https://twitter.com/realDonaldTrump/status/1966125485894648215,2025-09-11T13:03:39.000Z
10/9/2025,21:15:39,EDT,TO MY GREAT FELLOW AMERICANS… https://t.co/oRsrE5TTHr,,https://twitter.com/realDonaldTrump/status/1965947311718269341,2025-09-11T01:15:39.000Z
4/9/2025,22:23:23,EDT,https://t.co/uCKSkNF0D3,,https://twitter.com/realDonaldTrump/status/1963790032939933822,2025-09-05T02:23:23.000Z
4/9/2025,22:18:44,EDT,https://t.co/KBZz0iosQX,,https://twitter.com/realDonaldTrump/status/1963788861743530185,2025-09-05T02:18:44.000Z
4/9/2025,10:24:03,EDT,https://t.co/jauBk37XWF,,https://twitter.com/realDonaldTrump/status/1963609005844017347,2025-09-04T14:24:03.000Z
4/9/2025,8:54:15,EDT,https://t.co/tIFFgTibCa,,https://twitter.com/realDonaldTrump/status/1963586403943481687,2025-09-04T12:54:15.000Z
4/9/2025,8:52:21,EDT,https://t.co/IVIHaB3DYr,,https://twitter.com/realDonaldTrump/status/1963585926354923597,2025-09-04T12:52:21.000Z
29/7/2025,22:16:19,EDT,"Due to a massive earthquake that occurred in the Pacific Ocean, a Tsunami Warning is in effect for those living in Hawaii. A Tsunami Watch is in effect for Alaska and the Pacific Coast of the United States. Japan is also in the way. Please visit https://t.co/wdFzeu1I0h for the",,https://twitter.com/realDonaldTrump/status/1950379902789964153,2025-07-30T02:16:19.000Z
21/7/2025,14:36:51,EDT,https://t.co/W4F1joXP8E,,https://twitter.com/realDonaldTrump/status/1947365170784669754,2025-07-21T18:36:51.000Z
17/7/2025,10:20:41,EDT,https://t.co/iDGcFKBR9r,,https://twitter.com/realDonaldTrump/status/1945851150948876456,2025-07-17T14:20:41.000Z
4/7/2025,23:41:44,EDT,HAPPY 4TH OF JULY! 🎇🎆🇺🇸🦅https://t.co/54aoHX14mj,,https://twitter.com/realDonaldTrump/status/1941341699374186746,2025-07-05T03:41:44.000Z
4/7/2025,17:17:03,EDT,https://t.co/PTPGtD7bjV,,https://twitter.com/realDonaldTrump/status/1941244891578904902,2025-07-04T21:17:03.000Z
25/6/2025,12:55:38,EDT,https://t.co/dQgHNdzAXb,https://pbs.twimg.com/media/GuTdzKoWMAAj13D.jpg,https://twitter.com/realDonaldTrump/status/1937917613989859810,2025-06-25T16:55:38.000Z
24/6/2025,21:48:52,EDT,https://t.co/z5HB3iOgwQ,https://pbs.twimg.com/media/GuQOQYCXEAAsv60.jpg,https://twitter.com/realDonaldTrump/status/1937689416501187006,2025-06-25T01:48:52.000Z
21/6/2025,22:30:31,EDT,https://t.co/2uweRciDEo,https://pbs.twimg.com/media/GuA7BcwW8AATE-I.jpg,https://twitter.com/realDonaldTrump/status/1936612737875956028,2025-06-22T02:30:31.000Z
21/6/2025,21:54:32,EDT,https://t.co/2OYrMFlw46,,https://twitter.com/realDonaldTrump/status/1936603680805097741,2025-06-22T01:54:32.000Z
21/6/2025,19:53:21,EDT,https://t.co/wu9mMkxtUg,https://pbs.twimg.com/media/GuAXDBLXAAA2KxP.jpg,https://twitter.com/realDonaldTrump/status/1936573183634645387,2025-06-21T23:53:21.000Z
17/6/2025,12:48:08,EDT,https://t.co/4sy7jjESGk,https://pbs.twimg.com/media/GtqPXO6W8AAoliY.jpg,https://twitter.com/realDonaldTrump/status/1935016621569179804,2025-06-17T16:48:08.000Z
17/6/2025,12:47:52,EDT,https://t.co/VoUY2xVnyK,https://pbs.twimg.com/media/GtqPTaxWMAA9yaB.jpg,https://twitter.com/realDonaldTrump/status/1935016557224050887,2025-06-17T16:47:52.000Z
17/6/2025,12:47:28,EDT,https://t.co/QcySkOWWGN,https://pbs.twimg.com/media/GtqPNeWXcAACtBm.jpg,https://twitter.com/realDonaldTrump/status/1935016454644023767,2025-06-17T16:47:28.000Z
14/6/2025,18:03:57,EDT,https://t.co/8C5WxKK3nc,,https://twitter.com/realDonaldTrump/status/1934008938334228752,2025-06-14T22:03:57.000Z
2/6/2025,19:52:36,EDT,https://t.co/U8OkJT3IEK,,https://twitter.com/realDonaldTrump/status/1929687626216280184,2025-06-02T23:52:36.000Z
2/6/2025,13:28:46,EDT,https://t.co/GmmP5VddGr,https://pbs.twimg.com/media/GsdI0M-WIAAFl1r.jpg,https://twitter.com/realDonaldTrump/status/1929591031139360976,2025-06-02T17:28:46.000Z
31/5/2025,8:54:08,EDT,https://t.co/ttc8fsXNVF,,https://twitter.com/realDonaldTrump/status/1928797140408533377,2025-05-31T12:54:08.000Z
26/5/2025,15:50:36,EDT,https://t.co/b19JtrkCiS,,https://twitter.com/realDonaldTrump/status/1927090010353721796,2025-05-26T19:50:36.000Z
24/5/2025,10:18:32,EDT,https://t.co/ymnea3Wf69,,https://twitter.com/realDonaldTrump/status/1926281665929691590,2025-05-24T14:18:32.000Z
22/5/2025,9:44:04,EDT,"“THE ONE, BIG, BEAUTIFUL BILL” has PASSED the House of Representatives! This is arguably the most significant piece of Legislation that will ever be signed in the History of our Country! The Bill includes MASSIVE Tax CUTS, No Tax on Tips, No Tax on Overtime, Tax Deductions when",,https://twitter.com/realDonaldTrump/status/1925548216243703820,2025-05-22T13:44:04.000Z
21/5/2025,10:47:03,EDT,https://t.co/ZuagVWL4KS,,https://twitter.com/realDonaldTrump/status/1925201677914603580,2025-05-21T14:47:03.000Z
19/5/2025,13:50:57,EDT,https://t.co/q5CPyHZkLD,https://pbs.twimg.com/media/GrVHoqEW4AA58wT.jpg,https://twitter.com/realDonaldTrump/status/1924523182909747657,2025-05-19T17:50:57.000Z
17/5/2025,13:31:12,EDT,🇦🇪🇺🇸 https://t.co/7fRFm4zCL5,,https://twitter.com/realDonaldTrump/status/1923793436068487574,2025-05-17T17:31:12.000Z
17/5/2025,13:29:44,EDT,🇶🇦🇺🇸 https://t.co/v1NwTQPWLO,,https://twitter.com/realDonaldTrump/status/1923793069138178293,2025-05-17T17:29:44.000Z
17/5/2025,13:27:58,EDT,🇸🇦🇺🇸 https://t.co/i5cRnVmaFv,,https://twitter.com/realDonaldTrump/status/1923792625028497464,2025-05-17T17:27:58.000Z
16/5/2025,13:37:33,EDT,"THE SUPREME COURT IS BEING PLAYED BY THE RADICAL LEFT LOSERS, WHO HAVE NO SUPPORT, THE PUBLIC HATES THEM, AND THEIR ONLY HOPE IS THE INTIMIDATION OF THE COURT, ITSELF. WE CAN’T LET THAT HAPPEN TO OUR COUNTRY!",,https://twitter.com/realDonaldTrump/status/1923432648103333919,2025-05-16T17:37:33.000Z
16/5/2025,13:16:46,EDT,"Republicans MUST UNITE behind, “THE ONE, BIG BEAUTIFUL BILL!” Not only does it cut Taxes for ALL Americans, but it will kick millions of Illegal Aliens off of Medicaid to PROTECT it for those who are the ones in real need. The Country will suffer greatly without this Legislation,",,https://twitter.com/realDonaldTrump/status/1923427418913616200,2025-05-16T17:16:46.000Z
13/5/2025,13:47:15,EDT,https://t.co/DskIpIscnd,,https://twitter.com/realDonaldTrump/status/1922347924987474196,2025-05-13T17:47:15.000Z
12/5/2025,8:54:40,EDT,https://t.co/9uLRtPVKpp,https://pbs.twimg.com/media/GqwAsLDWsAAe7pQ.jpg,https://twitter.com/realDonaldTrump/status/1921911904429088892,2025-05-12T12:54:40.000Z
12/5/2025,8:54:25,EDT,https://t.co/1Y5vg9zbEx,https://pbs.twimg.com/media/GqwAosfXkAAd0nE.jpg,https://twitter.com/realDonaldTrump/status/1921911844026954234,2025-05-12T12:54:25.000Z
11/5/2025,18:52:27,EDT,https://t.co/ifaRjPPHvv,https://pbs.twimg.com/media/Gqs_7DzXgAAcSHG.jpg,https://twitter.com/realDonaldTrump/status/1921699954696855934,2025-05-11T22:52:27.000Z
10/5/2025,8:03:09,EDT,https://t.co/lRPhZpugBV,https://pbs.twimg.com/media/GqlhuBbWQAE3nQ-.jpg,https://twitter.com/realDonaldTrump/status/1921174163848401313,2025-05-10T12:03:09.000Z
9/5/2025,21:04:06,EDT,"Today, I signed an Executive Order to launch the first-ever self-deportation program. Illegal aliens who stay in America face punishments, including—sudden deportation, in a place and manner solely of our discretion. TO ALL ILLEGAL ALIENS: BOOK YOUR FREE FLIGHT RIGHT NOW! https://t.co/LO4eyfhZOq",,https://twitter.com/realDonaldTrump/status/1921008311492624867,2025-05-10T01:04:06.000Z
8/5/2025,22:40:11,EDT,🇺🇸🇬🇧 https://t.co/rGKLly0JtS,,https://twitter.com/realDonaldTrump/status/1920670100987740317,2025-05-09T02:40:11.000Z
8/5/2025,12:40:16,EDT,https://t.co/0sUAawNN8S,,https://twitter.com/realDonaldTrump/status/1920519130941170088,2025-05-08T16:40:16.000Z
8/5/2025,5:36:52,EDT,RT @nypost: Democratic Rep. Jasmine Crockett accused of ‘abusing her power’ at airport after she cut passengers in wheelchairs https://t.co…,,https://twitter.com/realDonaldTrump/status/1920412577470795798,2025-05-08T09:36:52.000Z
6/5/2025,22:38:22,EDT,https://t.co/44glnqT0VM,,https://twitter.com/realDonaldTrump/status/1919944872020127980,2025-05-07T02:38:22.000Z
5/5/2025,13:41:13,EDT,https://t.co/JgZKhj4K1Z,,https://twitter.com/realDonaldTrump/status/1919447302982299811,2025-05-05T17:41:13.000Z
5/5/2025,11:54:40,EDT,"This was so wonderful, 9 years ago today! https://t.co/1jDZHObj5T",,https://twitter.com/realDonaldTrump/status/1919420490663288913,2025-05-05T15:54:40.000Z
5/5/2025,10:28:01,EDT,https://t.co/EejkjieL01,,https://twitter.com/realDonaldTrump/status/1919398681423299068,2025-05-05T14:28:01.000Z
5/5/2025,10:23:22,EDT,https://t.co/dZONBuFjpB,,https://twitter.com/realDonaldTrump/status/1919397513032790522,2025-05-05T14:23:22.000Z
5/5/2025,10:21:01,EDT,"The Democrats are really out of control. They have lost everything, especially their minds! These Radical Left Lunatics are into the “Impeachment thing” again. They have already got two “No Name,” little respected Congressmen, total Whackjobs both, throwing the “Impeachment” of",,https://twitter.com/realDonaldTrump/status/1919396921593958754,2025-05-05T14:21:01.000Z
5/5/2025,10:17:15,EDT,"REBUILD, AND OPEN ALCATRAZ! For too long, America has been plagued by vicious, violent, and repeat Criminal Offenders, the dregs of society, who will never contribute anything other than Misery and Suffering. When we were a more serious Nation, in times past, we did not hesitate https://t.co/u1jOCMXeW5",https://pbs.twimg.com/media/GqMQdw5XIAAHyJq.jpg,https://twitter.com/realDonaldTrump/status/1919395973802897676,2025-05-05T14:17:15.000Z
5/5/2025,10:16:22,EDT,https://t.co/omDhYkn2PN,https://pbs.twimg.com/media/GqMQQwmX0AAAg4H.jpg,https://twitter.com/realDonaldTrump/status/1919395751030923738,2025-05-05T14:16:22.000Z
1/5/2025,22:07:46,EDT,https://t.co/IDaLzWW3H5,,https://twitter.com/realDonaldTrump/status/1918125229420732456,2025-05-02T02:07:46.000Z
1/5/2025,22:07:30,EDT,https://t.co/30CHzvOXUY,,https://twitter.com/realDonaldTrump/status/1918125161058058627,2025-05-02T02:07:30.000Z
28/4/2025,10:28:08,EDT,"Join me tomorrow, April 29th—in Warren, Michigan at 6:00PM Eastern! https://t.co/TptdFccVat",,https://twitter.com/realDonaldTrump/status/1916861996021989540,2025-04-28T14:28:08.000Z
23/4/2025,19:55:53,EDT,RT @johnrich: A conversation about online child predators with Homeland Security and John Rich: PLS Repost! https://t.co/zChy4K5HQU,,https://twitter.com/realDonaldTrump/status/1915192938537111835,2025-04-23T23:55:53.000Z
18/4/2025,18:30:07,EDT,"Sleepy Joe Biden, THE WORST PRESIDENT IN THE HISTORY OF THE UNITED STATES, has allowed millions and millions of Criminals, many of them murderers, drug dealers, and people released from prisons and mental institutions from all around the world, to enter our Country through it’s",,https://twitter.com/realDonaldTrump/status/1913359413215142354,2025-04-18T22:30:07.000Z
18/4/2025,18:28:37,EDT,"Following my Day One Executive Order, the Office of Personnel Management will be issuing new Civil Service Regulations for career government employees. Moving forward, career government employees, working on policy matters, will be classified as “Schedule Policy/Career,” and will",,https://twitter.com/realDonaldTrump/status/1913359035132158083,2025-04-18T22:28:37.000Z
18/4/2025,18:27:57,EDT,"This is the hand of the man that the Democrats feel should be brought back to the United States, because he is such “a fine and innocent person.” They said he is not a member of MS-13, even though he’s got MS-13 tattooed onto his knuckles, and two Highly Respected Courts found https://t.co/31sNr2k1SK",https://pbs.twimg.com/media/Go2dv7oXAAAybJT.jpg,https://twitter.com/realDonaldTrump/status/1913358867708493982,2025-04-18T22:27:57.000Z
16/4/2025,9:44:57,EDT,https://t.co/Y6OFeGKS4l,,https://twitter.com/realDonaldTrump/status/1912502477359894605,2025-04-16T13:44:57.000Z
7/4/2025,10:56:03,EDT,"The United States has a chance to do something that should have been done DECADES AGO. Don’t be Weak! Don’t be Stupid! Don’t be a PANICAN (A new party based on Weak and Stupid people!). Be Strong, Courageous, and Patient, and GREATNESS will be the result!",,https://twitter.com/realDonaldTrump/status/1909258878035828788,2025-04-07T14:56:03.000Z
